id,parent,focus,signal,slack,drag,confidence,score,lane,kind,invariant,mutation
m001,g001,geometry span,76,32,18,68,212,ship,baseline,monotonic-signal,raise-signal
m002,g002,atlas pressure,55,14,14,96,178,watch,edge,drag-penalty,drop-slack
m003,g003,shader drift,53,59,41,87,147,watch,recovery,confidence-floor,raise-drag
m004,g004,render budget,99,43,25,58,242,ship,negative,lane-boundary,lower-confidence
m005,g005,geometry span,91,73,43,25,181,watch,baseline,monotonic-signal,raise-signal
m006,g006,atlas pressure,77,9,32,49,93,hold,edge,drag-penalty,drop-slack
m007,g007,shader drift,34,66,35,66,126,watch,recovery,confidence-floor,raise-drag
m008,g008,render budget,60,22,28,66,118,watch,negative,lane-boundary,lower-confidence
m009,g009,geometry span,85,72,29,90,288,ship,baseline,monotonic-signal,raise-signal
m010,g010,atlas pressure,88,54,10,100,344,ship,edge,drag-penalty,drop-slack
m011,g011,shader drift,97,29,51,66,114,watch,recovery,confidence-floor,raise-drag
m012,g012,render budget,61,48,42,41,91,hold,negative,lane-boundary,lower-confidence
m013,g013,geometry span,100,60,15,95,355,ship,baseline,monotonic-signal,raise-signal
m014,g014,atlas pressure,109,23,9,77,305,ship,edge,drag-penalty,drop-slack
m015,g015,shader drift,78,23,36,73,131,watch,recovery,confidence-floor,raise-drag
m016,g016,render budget,66,20,19,62,158,watch,negative,lane-boundary,lower-confidence
m017,g017,geometry span,116,56,16,38,318,ship,baseline,monotonic-signal,raise-signal
m018,g018,atlas pressure,43,31,37,24,24,hold,edge,drag-penalty,drop-slack
m019,g019,shader drift,59,37,35,21,73,hold,recovery,confidence-floor,raise-drag
m020,g020,render budget,70,72,4,54,322,ship,negative,lane-boundary,lower-confidence
m021,g021,geometry span,88,22,14,95,259,ship,baseline,monotonic-signal,raise-signal
m022,g022,atlas pressure,87,59,42,86,210,ship,edge,drag-penalty,drop-slack
m023,g023,shader drift,95,26,22,70,224,ship,recovery,confidence-floor,raise-drag
m024,g024,render budget,58,77,45,11,101,watch,negative,lane-boundary,lower-confidence
m025,g025,geometry span,52,61,41,48,110,watch,baseline,monotonic-signal,raise-signal
m026,g026,atlas pressure,39,18,19,65,103,watch,edge,drag-penalty,drop-slack
m027,g027,shader drift,85,51,17,78,282,ship,recovery,confidence-floor,raise-drag
m028,g028,render budget,67,29,28,76,156,watch,negative,lane-boundary,lower-confidence
m029,g029,geometry span,71,56,17,99,285,ship,baseline,monotonic-signal,raise-signal
m030,g030,atlas pressure,63,26,13,65,191,watch,edge,drag-penalty,drop-slack
m031,g031,shader drift,67,30,20,53,167,watch,recovery,confidence-floor,raise-drag
m032,g032,render budget,108,64,14,81,369,ship,negative,lane-boundary,lower-confidence
m033,g033,geometry span,105,48,37,76,234,ship,baseline,monotonic-signal,raise-signal
m034,g034,atlas pressure,94,0,29,72,144,watch,edge,drag-penalty,drop-slack
m035,g035,shader drift,52,25,34,74,92,hold,recovery,confidence-floor,raise-drag
m036,g036,render budget,35,71,42,24,68,hold,negative,lane-boundary,lower-confidence
m037,g037,geometry span,39,27,36,23,11,hold,baseline,monotonic-signal,raise-signal
m038,g038,atlas pressure,75,66,14,20,246,ship,edge,drag-penalty,drop-slack
m039,g039,shader drift,101,70,11,66,364,ship,recovery,confidence-floor,raise-drag
m040,g040,render budget,117,34,43,81,211,ship,negative,lane-boundary,lower-confidence
m041,g041,geometry span,50,53,22,85,203,watch,baseline,monotonic-signal,raise-signal
m042,g042,atlas pressure,50,54,13,69,225,ship,edge,drag-penalty,drop-slack
m043,g043,shader drift,102,39,38,23,153,watch,recovery,confidence-floor,raise-drag
m044,g044,render budget,44,28,41,34,14,hold,negative,lane-boundary,lower-confidence
m045,g045,geometry span,71,25,27,64,148,watch,baseline,monotonic-signal,raise-signal
m046,g046,atlas pressure,31,50,42,77,71,hold,edge,drag-penalty,drop-slack
m047,g047,shader drift,107,47,37,88,248,ship,recovery,confidence-floor,raise-drag
m048,g048,render budget,60,42,26,85,185,watch,negative,lane-boundary,lower-confidence
m049,g049,geometry span,93,77,4,64,388,ship,baseline,monotonic-signal,raise-signal
m050,g050,atlas pressure,100,16,37,52,136,watch,edge,drag-penalty,drop-slack
m051,g051,shader drift,111,75,20,93,385,ship,recovery,confidence-floor,raise-drag
m052,g052,render budget,32,31,44,62,12,hold,negative,lane-boundary,lower-confidence
m053,g053,geometry span,49,12,40,71,33,hold,baseline,monotonic-signal,raise-signal
m054,g054,atlas pressure,48,55,40,73,119,watch,edge,drag-penalty,drop-slack
m055,g055,shader drift,99,34,48,36,110,watch,recovery,confidence-floor,raise-drag
m056,g056,render budget,84,56,22,9,201,watch,negative,lane-boundary,lower-confidence
m057,g057,geometry span,89,34,14,105,295,ship,baseline,monotonic-signal,raise-signal
m058,g058,atlas pressure,38,50,12,65,193,watch,edge,drag-penalty,drop-slack
m059,g059,shader drift,108,42,34,93,257,ship,recovery,confidence-floor,raise-drag
m060,g060,render budget,103,35,21,71,263,ship,negative,lane-boundary,lower-confidence
m061,g061,geometry span,113,69,41,68,268,ship,baseline,monotonic-signal,raise-signal
m062,g062,atlas pressure,108,42,31,22,198,watch,edge,drag-penalty,drop-slack
m063,g063,shader drift,61,13,35,46,54,hold,recovery,confidence-floor,raise-drag
m064,g064,render budget,49,30,7,50,180,watch,negative,lane-boundary,lower-confidence
m065,g065,geometry span,56,76,40,76,180,watch,baseline,monotonic-signal,raise-signal
m066,g066,atlas pressure,93,21,16,87,251,ship,edge,drag-penalty,drop-slack
m067,g067,shader drift,76,12,33,97,141,watch,recovery,confidence-floor,raise-drag
m068,g068,render budget,71,75,12,50,294,ship,negative,lane-boundary,lower-confidence
m069,g069,geometry span,125,39,27,51,271,ship,baseline,monotonic-signal,raise-signal
m070,g070,atlas pressure,54,47,15,92,234,ship,edge,drag-penalty,drop-slack
m071,g071,shader drift,70,70,18,74,282,ship,recovery,confidence-floor,raise-drag
m072,g072,render budget,82,44,31,57,185,watch,negative,lane-boundary,lower-confidence
m073,g073,geometry span,100,33,22,72,250,ship,baseline,monotonic-signal,raise-signal
m074,g074,atlas pressure,55,19,40,35,23,hold,edge,drag-penalty,drop-slack
m075,g075,shader drift,85,66,36,21,179,watch,recovery,confidence-floor,raise-drag
m076,g076,render budget,103,52,25,91,301,ship,negative,lane-boundary,lower-confidence
m077,g077,geometry span,81,47,25,64,220,ship,baseline,monotonic-signal,raise-signal
m078,g078,atlas pressure,60,1,26,92,110,watch,edge,drag-penalty,drop-slack
m079,g079,shader drift,101,32,14,83,293,ship,recovery,confidence-floor,raise-drag
m080,g080,render budget,37,10,41,54,-16,hold,negative,lane-boundary,lower-confidence
m081,g081,geometry span,62,36,39,21,61,hold,baseline,monotonic-signal,raise-signal
m082,g082,atlas pressure,64,6,12,45,137,watch,edge,drag-penalty,drop-slack
m083,g083,shader drift,73,71,13,62,298,ship,recovery,confidence-floor,raise-drag
m084,g084,render budget,81,39,26,62,198,watch,negative,lane-boundary,lower-confidence
m085,g085,geometry span,98,61,16,86,340,ship,baseline,monotonic-signal,raise-signal
m086,g086,atlas pressure,52,28,13,96,204,watch,edge,drag-penalty,drop-slack
m087,g087,shader drift,37,66,41,62,104,watch,recovery,confidence-floor,raise-drag
m088,g088,render budget,33,47,25,37,97,hold,negative,lane-boundary,lower-confidence
m089,g089,geometry span,88,40,43,91,175,watch,baseline,monotonic-signal,raise-signal
m090,g090,atlas pressure,61,63,11,73,277,ship,edge,drag-penalty,drop-slack
